MetroArea,TargetEthnicity,EthnicPop,MetroPop
"Vallejo-Fairfield, CA",Asia (East South and Southeast),2768,429596
"Virginia Beach-Norfolk-Newport News, VA-NC",Asia (East South and Southeast),5590,1714428
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Asia (East South and Southeast),87836,6011752
"Worcester, MA-CT",Asia (East South and Southeast),5633,930667
"Atlanta-Sandy Springs-Roswell, GA",Bangladesh,4879,5612777
"Atlantic City-Hammonton, NJ",Bangladesh,2713,274026
"Boston-Cambridge-Newton, MA-NH",Bangladesh,3013,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Bangladesh,3284,9528396
"Dallas-Fort Worth-Arlington, TX",Bangladesh,6269,6957123
"Detroit-Warren-Dearborn, MI",Bangladesh,12705,4296731
"Houston-The Woodlands-Sugar Land, TX",Bangladesh,3567,6482592
"Los Angeles-Long Beach-Anaheim, CA",Bangladesh,7252,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Bangladesh,3839,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Bangladesh,96168,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bangladesh,6975,6047721
"San Francisco-Oakland-Hayward, CA",Bangladesh,2294,4577530
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Bangladesh,11869,6011752
"Boston-Cambridge-Newton, MA-NH",Bulgaria,2135,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Bulgaria,10326,9528396
"Las Vegas-Henderson-Paradise, NV",Bulgaria,2604,2070153
"Los Angeles-Long Beach-Anaheim, CA",Bulgaria,3250,13189366
"New York-Newark-Jersey City, NY-NJ-PA",Bulgaria,8086,20031443
"San Francisco-Oakland-Hayward, CA",Bulgaria,2573,4577530
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Bulgaria,2623,6011752
"Atlanta-Sandy Springs-Roswell, GA",Burma/Myanmar,3965,5612777
"Buffalo-Cheektowaga-Niagara Falls, NY",Burma/Myanmar,2710,1135503
"Chicago-Naperville-Elgin, IL-IN-WI",Burma/Myanmar,3709,9528396
"Dallas-Fort Worth-Arlington, TX",Burma/Myanmar,4602,6957123
"Des Moines-West Des Moines, IA",Burma/Myanmar,2011,611755
"Fort Wayne, IN",Burma/Myanmar,3335,426755
"Houston-The Woodlands-Sugar Land, TX",Burma/Myanmar,2489,6482592
"Indianapolis-Carmel-Anderson, IN",Burma/Myanmar,5675,1968768
"Jacksonville, FL",Burma/Myanmar,2111,1424097
"Los Angeles-Long Beach-Anaheim, CA",Burma/Myanmar,8952,13189366
"Minneapolis-St. Paul-Bloomington, MN-WI",Burma/Myanmar,5302,3488436
"New York-Newark-Jersey City, NY-NJ-PA",Burma/Myanmar,8421,20031443
"Omaha-Council Bluffs, NE-IA",Burma/Myanmar,2195,904834
"San Francisco-Oakland-Hayward, CA",Burma/Myanmar,10104,4577530
"Tulsa, OK",Burma/Myanmar,2171,970603
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Burma/Myanmar,3023,6011752
"Atlanta-Sandy Springs-Roswell, GA",Cambodia,2536,5612777
"Boston-Cambridge-Newton, MA-NH",Cambodia,12107,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Cambodia,2318,9528396
"Dallas-Fort Worth-Arlington, TX",Cambodia,3185,6957123
"Fresno, CA",Cambodia,2063,963160
"Houston-The Woodlands-Sugar Land, TX",Cambodia,3528,6482592
"Los Angeles-Long Beach-Anaheim, CA",Cambodia,29437,13189366
"Minneapolis-St. Paul-Bloomington, MN-WI",Cambodia,3378,3488436
"Modesto, CA",Cambodia,2163,530561
"New York-Newark-Jersey City, NY-NJ-PA",Cambodia,3449,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cambodia,7092,6047721
"Portland-Vancouver-Hillsboro, OR-WA",Cambodia,3194,2351319
"Providence-Warwick, RI-MA",Cambodia,3469,1609359
"Riverside-San Bernardino-Ontario, CA",Cambodia,4033,4430646
"San Diego-Carlsbad, CA",Cambodia,3470,3253356
"San Francisco-Oakland-Hayward, CA",Cambodia,4060,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Cambodia,3339,1943107
"Seattle-Tacoma-Bellevue, WA",Cambodia,10543,3671095
"Stockton-Lodi, CA",Cambodia,4838,714860
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Cambodia,4370,6011752
"Chicago-Naperville-Elgin, IL-IN-WI",Croatia,4384,9528396
"Cleveland-Elyria, OH",Croatia,2031,2061630
"Los Angeles-Long Beach-Anaheim, CA",Croatia,2264,13189366
"New York-Newark-Jersey City, NY-NJ-PA",Croatia,8567,20031443
"Chicago-Naperville-Elgin, IL-IN-WI",Czech Republic,5204,9528396
"Los Angeles-Long Beach-Anaheim, CA",Czech Republic,3848,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Czech Republic,2195,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Czech Republic,12046,20031443
"San Francisco-Oakland-Hayward, CA",Czech Republic,2265,4577530
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Czech Republic,2126,6011752
"New York-Newark-Jersey City, NY-NJ-PA",Denmark,2821,20031443
"Boston-Cambridge-Newton, MA-NH",Hmong,7505,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Hmong,5539,9528396
"Dallas-Fort Worth-Arlington, TX",Hmong,2345,6957123
"Houston-The Woodlands-Sugar Land, TX",Hmong,4665,6482592
"Los Angeles-Long Beach-Anaheim, CA",Hmong,32664,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Hmong,2178,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Hmong,46662,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Hmong,2718,6047721
"Riverside-San Bernardino-Ontario, CA",Hmong,2456,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Hmong,3823,2242542
"San Diego-Carlsbad, CA",Hmong,2897,3253356
"San Francisco-Oakland-Hayward, CA",Hmong,42334,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Hmong,10878,1943107
"Seattle-Tacoma-Bellevue, WA",Hmong,7763,3671095
"Urban Honolulu, HI",Hmong,3509,986999
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Hmong,5041,6011752
"Akron, OH",India,3121,703168
"Albany-Schenectady-Troy, NY",India,5762,879291
"Allentown-Bethlehem-Easton, PA-NJ",India,5770,830737
"Ann Arbor, MI",India,4286,358082
"Atlanta-Sandy Springs-Roswell, GA",India,65328,5612777
"Atlantic City-Hammonton, NJ",India,4029,274026
"Austin-Round Rock, TX",India,22199,1942615
"Bakersfield, CA",India,7438,871337
