MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Vineland-Bridgeton, NJ",Mexico,th,th,58,119,39.3125,-75.1344,0.054114444,8428,8000,156000,155744
"Victoria, TX",Mexico,nd,th,72,164,28.7455,-97.1672,0.041207898,4057,4000,98000,98452
"Vallejo-Fairfield, CA",Mexico,th,th,46,58,38.2855,-121.9018,0.064409352,27670,28000,430000,429596
"Valdosta, GA",Mexico,th,th,155,225,30.8879,-83.3553,0.015366447,2212,2000,144000,143950
"Tyler, TX",Mexico,st,th,51,97,32.4113,-95.246,0.057744204,12689,13000,220000,219745
"Tuscaloosa, AL",Mexico,th,nd,186,222,33.0453,-87.5739,0.009635127,2290,2000,238000,237672
"Tulsa, OK",Mexico,st,th,91,56,36.1881,-96.1294,0.029281797,28421,28000,971000,970603
"Tucson, AZ",Mexico,th,th,38,28,31.9703,-111.7845,0.077591998,77851,78000,1003000,1003338
"Trenton, NJ",Mexico,nd,th,192,184,40.2805,-74.6826,0.008679578,3221,3000,371000,371101
"Topeka, KS",Mexico,th,th,144,167,39.0434,-95.9461,0.017234668,4029,4000,234000,233773
"Toledo, OH",Mexico,st,th,221,217,41.5626,-83.8981,0.003898240,2365,2000,607000,606684
"Texarkana, TX-AR",Mexico,th,th,150,218,33.4821,-94.2347,0.015771375,2362,2000,150000,149765
"Tampa-St. Petersburg-Clearwater, FL",Mexico,th,th,160,46,28.1327,-82.4803,0.013630088,39905,40000,2928000,2927714
"Stockton-Lodi, CA",Mexico,nd,th,22,27,37.8911,-121.2479,0.113932798,81446,81000,715000,714860
"St. Louis, MO-IL",Mexico,th,th,211,88,38.7628,-90.3359,0.005314882,14900,15000,2803000,2803449
"St. George, UT",Mexico,th,th,112,175,37.3092,-113.4764,0.023703762,3602,4000,152000,151959
"Spokane-Spokane Valley, WA",Mexico,th,th,212,196,48.1301,-117.6472,0.004990748,2708,3000,543000,542604
"Spartanburg, SC",Mexico,st,rd,121,133,34.8204,-81.8312,0.021374671,6886,7000,322000,322157
