MetroArea.1.1,MetroArea.1.2,MetroArea.1.3,MetroArea.1.4,MetroArea.1.5,MetroArea.1.6,MetroArea.2.1,MetroArea.2.2,MetroArea.2.3,MetroArea.2.4,TargetEthnicity,EthnicPop,MetroPop
Los Angeles,,,,,, CA,,,,India,85943,13189366
Madison,,,,,, WI,,,,India,3771,634269
Manchester,,,,,, NH,,,,India,4108,404948
Merced,,,,,, CA,,,,India,3149,265001
Miami,,,,,, FL,,,,India,22534,5926955
St. Paul,,,,,, MN,,,,India,26214,3488436
Modesto,,,,,, CA,,,,India,4472,530561
Nashville,,,,,, TN,,,,India,9040,1794570
New Orleans,,,,,, LA,,,,India,2901,1250247
New York,,,,,, NY,,,,India,345130,20031443
Oklahoma City,,,,,, OK,,,,India,4807,1337075
Omaha,,,,,, NE,,,,India,4061,904834
Orlando,,,,,, FL,,,,India,12438,2328508
Oxnard,,,,,, CA,,,,India,8375,843110
Peoria,,,,,, IL,,,,India,3185,379241
Philadelphia,,,,,, PA,,,,India,72673,6047721
Phoenix,,,,,, AZ,,,,India,29859,4486153
Pittsburgh,,,,,, PA,,,,India,11812,2354926
Portland,,,,,, OR,,,,India,13088,2351319
Providence,,,,,, RI,,,,India,6798,1609359
Raleigh,,,,,, NC,,,,India,19480,1243720
Richmond,,,,,, VA,,,,India,10898,1258158
Riverside,,,,,, CA,,,,India,15968,4430646
Rochester,,,,,, NY,,,,India,4283,1082226
Sacramento,,,,,, CA,,,,India,25949,2242542
Salt Lake City,,,,,, UT,,,,India,4738,1154504
San Antonio,,,,,, TX,,,,India,8975,2332345
San Diego,,,,,, CA,,,,India,22010,3253356
San Francisco,,,,,, CA,,,,India,108685,4577530
San Jose,,,,,, CA,,,,India,110449,1943107
Seattle,,,,,, WA,,,,India,56416,3671095
Springfield,,,,,, MA,,,,India,2203,629107
St. Louis,,,,,, MO,,,,India,13554,2803449
Stockton,,,,,, CA,,,,India,11658,714860
Syracuse,,,,,, NY,,,,India,2014,660652
Tallahassee,,,,,, FL,,,,India,2428,376337
Tampa,,,,,, FL,,,,India,18205,2927714
Trenton,,,,,, NJ,,,,India,11834,371101
Vallejo,,,,,, CA,,,,India,2981,429596
Newport News,,,,,, VA,,,,India,3981,1714428
Washington,,,,,, DC,,,,India,93583,6011752
Yuba City,,,,,, CA,,,,India,6774,169303
Atlanta,,,,,, GA,,,,Japan,5628,5612777
Boston,,,,,, MA,,,,Japan,6370,4728844
Chicago,,,,,, IL,,,,Japan,9508,9528396
Cincinnati,,,,,, OH,,,,Japan,2304,2146410
Columbus,,,,,, OH,,,,Japan,2643,1995004
Dallas,,,,,, TX,,,,Japan,3875,6957123
Denver,,,,,, CO,,,,Japan,2169,2752056
Houston,,,,,, TX,,,,Japan,4347,6482592
Las Vegas,,,,,, NV,,,,Japan,4009,2070153
Los Angeles,,,,,, CA,,,,Japan,48372,13189366
Miami,,,,,, FL,,,,Japan,2472,5926955
New York,,,,,, NY,,,,Japan,36775,20031443
Philadelphia,,,,,, PA,,,,Japan,2847,6047721
Phoenix,,,,,, AZ,,,,Japan,3205,4486153
Portland,,,,,, OR,,,,Japan,4865,2351319
Riverside,,,,,, CA,,,,Japan,4798,4430646
Sacramento,,,,,, CA,,,,Japan,3741,2242542
San Diego,,,,,, CA,,,,Japan,11150,3253356
San Francisco,,,,,, CA,,,,Japan,17668,4577530
San Jose,,,,,, CA,,,,Japan,11540,1943107
Seattle,,,,,, WA,,,,Japan,12811,3671095
Honolulu,,,,,, HI,,,,Japan,20489,986999
Washington,,,,,, DC,,,,Japan,8022,6011752
Albany,,,,,, NY,,,,Korea,2750,879291
Anchorage,,,,,, AK,,,,Korea,2947,398000
Atlanta,,,,,, GA,,,,Korea,34349,5612777
Austin,,,,,, TX,,,,Korea,4950,1942615
Baltimore,,,,,, MD,,,,Korea,19238,2780873
Boston,,,,,, MA,,,,Korea,14351,4728844
Bridgeport,,,,,, CT,,,,Korea,2377,941618
Charlotte,,,,,, NC,,,,Korea,3260,2381152
Chicago,,,,,, IL,,,,Korea,38310,9528396
Cincinnati,,,,,, OH,,,,Korea,2050,2146410
Cleveland,,,,,, OH,,,,Korea,2509,2061630
Colorado Springs,,,,,, CO,,,,Korea,3623,688643
Columbus,,,,,, OH,,,,Korea,3903,1995004
Dallas,,,,,, TX,,,,Korea,23014,6957123
Denver,,,,,, CO,,,,Korea,9555,2752056
Grand Rapids,,,,,, MI,,,,Korea,2383,1028173
Houston,,,,,, TX,,,,Korea,11761,6482592
Kansas City,,,,,, MO,,,,Korea,3714,2070147
Las Vegas,,,,,, NV,,,,Korea,9676,2070153
Los Angeles,,,,,, CA,,,,Korea,220673,13189366
Madison,,,,,, WI,,,,Korea,2034,634269
Miami,,,,,, FL,,,,Korea,3613,5926955
St. Paul,,,,,, MN,,,,Korea,10738,3488436
Montgomery,,,,,, AL,,,,Korea,2104,373963
Nashville,,,,,, TN,,,,Korea,3072,1794570
New York,,,,,, NY,,,,Korea,147913,20031443
Oklahoma City,,,,,, OK,,,,Korea,2463,1337075
Orlando,,,,,, FL,,,,Korea,4563,2328508
Oxnard,,,,,, CA,,,,Korea,2610,843110
Philadelphia,,,,,, PA,,,,Korea,24745,6047721
Phoenix,,,,,, AZ,,,,Korea,7994,4486153
Pittsburgh,,,,,, PA,,,,Korea,3286,2354926
Portland,,,,,, OR,,,,Korea,9195,2351319
Raleigh,,,,,, NC,,,,Korea,3457,1243720
Richmond,,,,,, VA,,,,Korea,2989,1258158
Riverside,,,,,, CA,,,,Korea,17973,4430646
Rochester,,,,,, NY,,,,Korea,2023,1082226
Sacramento,,,,,, CA,,,,Korea,7941,2242542
Salt Lake City,,,,,, UT,,,,Korea,2410,1154504
San Antonio,,,,,, TX,,,,Korea,2902,2332345
San Diego,,,,,, CA,,,,Korea,15067,3253356
San Francisco,,,,,, CA,,,,Korea,29325,4577530
San Jose,,,,,, CA,,,,Korea,21099,1943107
Seattle,,,,,, WA,,,,Korea,37651,3671095
St. Louis,,,,,, MO,,,,Korea,4198,2803449
Tampa,,,,,, FL,,,,Korea,4074,2927714
Trenton,,,,,, NJ,,,,Korea,2137,371101
Honolulu,,,,,, HI,,,,Korea,14790,986999
Newport News,,,,,, VA,,,,Korea,3937,1714428
Washington,,,,,, DC,,,,Korea,59212,6011752
Atlanta,,,,,, GA,,,,Laos,3860,5612777
Boston,,,,,, MA,,,,Laos,2039,4728844
Charlotte,,,,,, NC,,,,Laos,2313,2381152
Chicago,,,,,, IL,,,,Laos,2608,9528396
Dallas,,,,,, TX,,,,Laos,5538,6957123
Denver,,,,,, CO,,,,Laos,2182,2752056
Fresno,,,,,, CA,,,,Laos,11918,963160
Los Angeles,,,,,, CA,,,,Laos,5293,13189366
St. Paul,,,,,, MN,,,,Laos,23402,3488436
Nashville,,,,,, TN,,,,Laos,3792,1794570
Portland,,,,,, OR,,,,Laos,3651,2351319
Riverside,,,,,, CA,,,,Laos,2703,4430646
Sacramento,,,,,, CA,,,,Laos,11907,2242542
San Diego,,,,,, CA,,,,Laos,5170,3253356
San Francisco,,,,,, CA,,,,Laos,5029,4577530
Seattle,,,,,, WA,,,,Laos,5400,3671095
Stockton,,,,,, CA,,,,Laos,3264,714860
Tampa,,,,,, FL,,,,Laos,2172,2927714
Washington,,,,,, DC,,,,Laos,2682,6011752
Albany,,,,,, NY,,,,Pakistan,2181,879291
Atlanta,,,,,, GA,,,,Pakistan,9192,5612777
Austin,,,,,, TX,,,,Pakistan,3476,1942615
Baltimore,,,,,, MD,,,,Pakistan,8409,2780873
Boston,,,,,, MA,,,,Pakistan,3689,4728844
Chicago,,,,,, IL,,,,Pakistan,25508,9528396
Dallas,,,,,, TX,,,,Pakistan,15679,6957123
Houston,,,,,, TX,,,,Pakistan,28622,6482592
Los Angeles,,,,,, CA,,,,Pakistan,13091,13189366
Miami,,,,,, FL,,,,Pakistan,6087,5926955
New York,,,,,, NY,,,,Pakistan,78119,20031443
Orlando,,,,,, FL,,,,Pakistan,3587,2328508
Philadelphia,,,,,, PA,,,,Pakistan,8262,6047721
Riverside,,,,,, CA,,,,Pakistan,4473,4430646
Sacramento,,,,,, CA,,,,Pakistan,5646,2242542
San Francisco,,,,,, CA,,,,Pakistan,8580,4577530
San Jose,,,,,, CA,,,,Pakistan,4095,1943107
Seattle,,,,,, WA,,,,Pakistan,3432,3671095
St. Louis,,,,,, MO,,,,Pakistan,2172,2803449
Stockton,,,,,, CA,,,,Pakistan,4040,714860
Tampa,,,,,, FL,,,,Pakistan,2141,2927714
Washington,,,,,, DC,,,,Pakistan,28677,6011752
Anchorage,,,,,, AK,,,,Philippines,8712,398000
Atlanta,,,,,, GA,,,,Philippines,9565,5612777
Austin,,,,,, TX,,,,Philippines,4657,1942615
Bakersfield,,,,,, CA,,,,Philippines,10584,871337
Baltimore,,,,,, MD,,,,Philippines,14378,2780873
Boston,,,,,, MA,,,,Philippines,8626,4728844
Bridgeport,,,,,, CT,,,,Philippines,3599,941618
Charlotte,,,,,, NC,,,,Philippines,3403,2381152
Chicago,,,,,, IL,,,,Philippines,81586,9528396
Cincinnati,,,,,, OH,,,,Philippines,2838,2146410
Cleveland,,,,,, OH,,,,Philippines,2626,2061630
Colorado Springs,,,,,, CO,,,,Philippines,2555,688643
Columbus,,,,,, OH,,,,Philippines,2739,1995004
Dallas,,,,,, TX,,,,Philippines,24320,6957123
Denver,,,,,, CO,,,,Philippines,5112,2752056
Fresno,,,,,, CA,,,,Philippines,6082,963160
Houston,,,,,, TX,,,,Philippines,38464,6482592
Kansas City,,,,,, MO,,,,Philippines,3444,2070147
Las Vegas,,,,,, NV,,,,Philippines,70555,2070153
Los Angeles,,,,,, CA,,,,Philippines,293077,13189366
Miami,,,,,, FL,,,,Philippines,15792,5926955
St. Paul,,,,,, MN,,,,Philippines,6354,3488436
Modesto,,,,,, CA,,,,Philippines,3686,530561
